[ 2016-08-25T10:17:18+08:00 ] /WEIBO/index.php/UserSetting/getMsg | ERR: (ThinkException) 非法操作getMsg
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | INFO: Tag[ route_check ] --START--
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | INFO: Run CheckRoute Behavior [ RunTime:0.000918s ]
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001002s ]
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | INFO: Tag[ app_begin ] --START--
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000674s ]
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000731s ]
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.004648s ]
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8] Undefined index: default DbMysql.class.php 第 276 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | SQL: SELECT `username`,`truename`,`sex`,`location`,`constellation`,`intro`,`face180` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000339s ]
[ 2016-08-25T10:18:03+08:00 ] /WEIBO/index.php/UserSetting/index | INFO: Tag[ view_template ] --START--
